TOP.5ef4795d.000ea5c8	START
TOP.5ef4795d.000ea5c8	user_options->outfile_autohex	1
TOP.5ef4795d.000ea5c8	user_options->outfile_check_timer	5
TOP.5ef4795d.000ea5c8	user_options->outfile_format	3
TOP.5ef4795d.000ea5c8	user_options->wordlist_autohex_disable	0
TOP.5ef4795d.000ea5c8	user_options->potfile_disable	0
TOP.5ef4795d.000ea5c8	user_options->progress_only	0
TOP.5ef4795d.000ea5c8	user_options->quiet	0
TOP.5ef4795d.000ea5c8	user_options->remove	0
TOP.5ef4795d.000ea5c8	user_options->remove_timer	60
TOP.5ef4795d.000ea5c8	user_options->restore	0
TOP.5ef4795d.000ea5c8	user_options->restore_disable	0
TOP.5ef4795d.000ea5c8	user_options->restore_timer	60
TOP.5ef4795d.000ea5c8	user_options->rp_files_cnt	0
TOP.5ef4795d.000ea5c8	user_options->rp_gen	0
TOP.5ef4795d.000ea5c8	user_options->rp_gen_func_max	4
TOP.5ef4795d.000ea5c8	user_options->rp_gen_func_min	1
TOP.5ef4795d.000ea5c8	user_options->rp_gen_seed	0
TOP.5ef4795d.000ea5c8	user_options->runtime	0
TOP.5ef4795d.000ea5c8	user_options->scrypt_tmto	0
TOP.5ef4795d.000ea5c8	user_options->segment_size	33554432
TOP.5ef4795d.000ea5c8	user_options->self_test_disable	0
TOP.5ef4795d.000ea5c8	user_options->slow_candidates	0
TOP.5ef4795d.000ea5c8	user_options->show	0
TOP.5ef4795d.000ea5c8	user_options->speed_only	0
TOP.5ef4795d.000ea5c8	user_options->spin_damp	0
TOP.5ef4795d.000ea5c8	user_options->status	0
TOP.5ef4795d.000ea5c8	user_options->status_json	0
TOP.5ef4795d.000ea5c8	user_options->status_timer	10
TOP.5ef4795d.000ea5c8	user_options->stdout_flag	0
TOP.5ef4795d.000ea5c8	user_options->usage	0
TOP.5ef4795d.000ea5c8	user_options->username	0
TOP.5ef4795d.000ea5c8	user_options->veracrypt_pim_start	485
TOP.5ef4795d.000ea5c8	user_options->veracrypt_pim_stop	485
TOP.5ef4795d.000ea5c8	user_options->version	0
TOP.5ef4795d.000ea5c8	user_options->workload_profile	2
TOP.5ef4795d.000ea5c8	user_options->brain_client	0
TOP.5ef4795d.000ea5c8	user_options->brain_client_features	2
TOP.5ef4795d.000ea5c8	user_options->brain_server	0
TOP.5ef4795d.000ea5c8	user_options->brain_server_timer	300
TOP.5ef4795d.000ea5c8	user_options->brain_port	6863
TOP.5ef4795d.000ea5c8	user_options->brain_session	0
TOP.5ef4795d.000ea5c8	proc_start	1593080157
TOP.5ef4795d.000ea5c8	proc_stop	1593080158
TOP.5ef4795d.000ea5c8	STOP
TOP.5ef4798a.000286af	START
TOP.5ef4798a.000286af	user_options->separator	:
TOP.5ef4798a.000286af	user_options->encoding_from	utf-8
TOP.5ef4798a.000286af	user_options->encoding_to	utf-8
TOP.5ef4798a.000286af	user_options->backend_devices	1
TOP.5ef4798a.000286af	user_options->opencl_device_types	2
TOP.5ef4798a.000286af	user_options->rule_buf_l	:
TOP.5ef4798a.000286af	user_options->rule_buf_r	:
TOP.5ef4798a.000286af	user_options->session	hashcat
TOP.5ef4798a.000286af	user_options->limit	0
TOP.5ef4798a.000286af	user_options->skip	0
TOP.5ef4798a.000286af	user_options->attack_mode	3
TOP.5ef4798a.000286af	user_options->benchmark	0
TOP.5ef4798a.000286af	user_options->benchmark_all	0
TOP.5ef4798a.000286af	user_options->bitmap_max	18
TOP.5ef4798a.000286af	user_options->bitmap_min	16
TOP.5ef4798a.000286af	user_options->debug_mode	0
TOP.5ef4798a.000286af	user_options->example_hashes	0
TOP.5ef4798a.000286af	user_options->force	0
TOP.5ef4798a.000286af	user_options->hwmon_disable	0
TOP.5ef4798a.000286af	user_options->hwmon_temp_abort	90
TOP.5ef4798a.000286af	user_options->hash_mode	17400
TOP.5ef4798a.000286af	user_options->hex_charset	0
TOP.5ef4798a.000286af	user_options->hex_salt	0
TOP.5ef4798a.000286af	user_options->hex_wordlist	0
TOP.5ef4798a.000286af	user_options->hook_threads	8
TOP.5ef4798a.000286af	user_options->increment	0
TOP.5ef4798a.000286af	user_options->increment_max	256
TOP.5ef4798a.000286af	user_options->increment_min	1
TOP.5ef4798a.000286af	user_options->keep_guessing	0
TOP.5ef4798a.000286af	user_options->kernel_accel	0
TOP.5ef4798a.000286af	user_options->kernel_loops	0
TOP.5ef4798a.000286af	user_options->kernel_threads	0
TOP.5ef4798a.000286af	user_options->keyspace	0
TOP.5ef4798a.000286af	user_options->left	0
TOP.5ef4798a.000286af	user_options->logfile_disable	0
TOP.5ef4798a.000286af	user_options->loopback	0
TOP.5ef4798a.000286af	user_options->machine_readable	0
TOP.5ef4798a.000286af	user_options->markov_classic	0
TOP.5ef4798a.000286af	user_options->markov_disable	0
TOP.5ef4798a.000286af	user_options->markov_threshold	256
TOP.5ef4798a.000286af	user_options->backend_info	0
TOP.5ef4798a.000286af	user_options->backend_vector_width	0
TOP.5ef4798a.000286af	user_options->optimized_kernel_enable	1
TOP.5ef4798a.000286af	user_options->outfile_autohex	1
TOP.5ef4798a.000286af	user_options->outfile_check_timer	5
TOP.5ef4798a.000286af	user_options->outfile_format	3
TOP.5ef4798a.000286af	user_options->wordlist_autohex_disable	0
TOP.5ef4798a.000286af	user_options->potfile_disable	0
TOP.5ef4798a.000286af	user_options->progress_only	0
TOP.5ef4798a.000286af	user_options->quiet	0
TOP.5ef4798a.000286af	user_options->remove	0
TOP.5ef4798a.000286af	user_options->remove_timer	60
TOP.5ef4798a.000286af	user_options->restore	0
TOP.5ef4798a.000286af	user_options->restore_disable	0
TOP.5ef4798a.000286af	user_options->restore_timer	60
TOP.5ef4798a.000286af	user_options->rp_files_cnt	0
TOP.5ef4798a.000286af	user_options->rp_gen	0
TOP.5ef4798a.000286af	user_options->rp_gen_func_max	4
TOP.5ef4798a.000286af	user_options->rp_gen_func_min	1
TOP.5ef4798a.000286af	user_options->rp_gen_seed	0
TOP.5ef4798a.000286af	user_options->runtime	0
TOP.5ef4798a.000286af	user_options->scrypt_tmto	0
TOP.5ef4798a.000286af	user_options->segment_size	33554432
TOP.5ef4798a.000286af	user_options->self_test_disable	0
TOP.5ef4798a.000286af	user_options->slow_candidates	0
TOP.5ef4798a.000286af	user_options->show	0
TOP.5ef4798a.000286af	user_options->speed_only	0
TOP.5ef4798a.000286af	user_options->spin_damp	0
TOP.5ef4798a.000286af	user_options->status	0
TOP.5ef4798a.000286af	user_options->status_json	0
TOP.5ef4798a.000286af	user_options->status_timer	10
TOP.5ef4798a.000286af	user_options->stdout_flag	0
TOP.5ef4798a.000286af	user_options->usage	0
TOP.5ef4798a.000286af	user_options->username	0
TOP.5ef4798a.000286af	user_options->veracrypt_pim_start	485
TOP.5ef4798a.000286af	user_options->veracrypt_pim_stop	485
TOP.5ef4798a.000286af	user_options->version	0
TOP.5ef4798a.000286af	user_options->workload_profile	2
TOP.5ef4798a.000286af	user_options->brain_client	0
TOP.5ef4798a.000286af	user_options->brain_client_features	2
TOP.5ef4798a.000286af	user_options->brain_server	0
TOP.5ef4798a.000286af	user_options->brain_server_timer	300
TOP.5ef4798a.000286af	user_options->brain_port	6863
TOP.5ef4798a.000286af	user_options->brain_session	0
TOP.5ef4798a.000286af	hashes->hashlist_mode	2
TOP.5ef4798a.000286af	hashes->hashlist_format	0
TOP.5ef4798a.000286af	hashes->hashes_cnt	0
TOP.5ef4798a.000286af	hashes->digests_cnt	1
TOP.5ef4798a.000286af	hashes->digests_done	0
TOP.5ef4798a.000286af	hashes->salts_cnt	1
TOP.5ef4798a.000286af	hashes->salts_done	0
TOP.5ef4798a.000286af	SUB.5ef4798d.00041470	START
TOP.5ef4798a.000286af	SUB.5ef4798d.00041470	mask_ctx->mask	?a?a?a?a?a
TOP.5ef4798a.000286af	SUB.5ef4798d.00041470	runtime_start	1593080205
TOP.5ef4798a.000286af	SUB.5ef4798d.00041470	runtime_stop	1593080231
TOP.5ef4798a.000286af	SUB.5ef4798d.00041470	status-after-work	6
TOP.5ef4798a.000286af	SUB.5ef4798d.00041470	STOP
TOP.5ef4798a.000286af	proc_start	1593080202
TOP.5ef4798a.000286af	proc_stop	1593080232
TOP.5ef4798a.000286af	STOP
TOP.5ef479d3.0006766d	START
TOP.5ef479d3.0006766d	user_options->separator	:
TOP.5ef479d3.0006766d	user_options->encoding_from	utf-8
TOP.5ef479d3.0006766d	user_options->encoding_to	utf-8
TOP.5ef479d3.0006766d	user_options->backend_devices	1
TOP.5ef479d3.0006766d	user_options->opencl_device_types	2
TOP.5ef479d3.0006766d	user_options->rule_buf_l	:
TOP.5ef479d3.0006766d	user_options->rule_buf_r	:
TOP.5ef479d3.0006766d	user_options->session	hashcat
TOP.5ef479d3.0006766d	user_options->limit	0
TOP.5ef479d3.0006766d	user_options->skip	0
TOP.5ef479d3.0006766d	user_options->attack_mode	3
TOP.5ef479d3.0006766d	user_options->benchmark	0
TOP.5ef479d3.0006766d	user_options->benchmark_all	0
TOP.5ef479d3.0006766d	user_options->bitmap_max	18
TOP.5ef479d3.0006766d	user_options->bitmap_min	16
TOP.5ef479d3.0006766d	user_options->debug_mode	0
TOP.5ef479d3.0006766d	user_options->example_hashes	0
TOP.5ef479d3.0006766d	user_options->force	0
TOP.5ef479d3.0006766d	user_options->hwmon_disable	0
TOP.5ef479d3.0006766d	user_options->hwmon_temp_abort	90
TOP.5ef479d3.0006766d	user_options->hash_mode	17400
TOP.5ef479d3.0006766d	user_options->hex_charset	0
TOP.5ef479d3.0006766d	user_options->hex_salt	0
TOP.5ef479d3.0006766d	user_options->hex_wordlist	0
TOP.5ef479d3.0006766d	user_options->hook_threads	8
TOP.5ef479d3.0006766d	user_options->increment	0
TOP.5ef479d3.0006766d	user_options->increment_max	256
TOP.5ef479d3.0006766d	user_options->increment_min	1
TOP.5ef479d3.0006766d	user_options->keep_guessing	0
TOP.5ef479d3.0006766d	user_options->kernel_accel	0
TOP.5ef479d3.0006766d	user_options->kernel_loops	0
TOP.5ef479d3.0006766d	user_options->kernel_threads	0
TOP.5ef479d3.0006766d	user_options->keyspace	0
TOP.5ef479d3.0006766d	user_options->left	0
TOP.5ef479d3.0006766d	user_options->logfile_disable	0
TOP.5ef479d3.0006766d	user_options->loopback	0
TOP.5ef479d3.0006766d	user_options->machine_readable	0
TOP.5ef479d3.0006766d	user_options->markov_classic	0
TOP.5ef479d3.0006766d	user_options->markov_disable	0
TOP.5ef479d3.0006766d	user_options->markov_threshold	256
TOP.5ef479d3.0006766d	user_options->backend_info	0
TOP.5ef479d3.0006766d	user_options->backend_vector_width	0
TOP.5ef479d3.0006766d	user_options->optimized_kernel_enable	1
TOP.5ef479d3.0006766d	user_options->outfile_autohex	1
TOP.5ef479d3.0006766d	user_options->outfile_check_timer	5
TOP.5ef479d3.0006766d	user_options->outfile_format	3
TOP.5ef479d3.0006766d	user_options->wordlist_autohex_disable	0
TOP.5ef479d3.0006766d	user_options->potfile_disable	0
TOP.5ef479d3.0006766d	user_options->progress_only	0
TOP.5ef479d3.0006766d	user_options->quiet	0
TOP.5ef479d3.0006766d	user_options->remove	0
TOP.5ef479d3.0006766d	user_options->remove_timer	60
TOP.5ef479d3.0006766d	user_options->restore	0
TOP.5ef479d3.0006766d	user_options->restore_disable	0
TOP.5ef479d3.0006766d	user_options->restore_timer	60
TOP.5ef479d3.0006766d	user_options->rp_files_cnt	0
TOP.5ef479d3.0006766d	user_options->rp_gen	0
TOP.5ef479d3.0006766d	user_options->rp_gen_func_max	4
TOP.5ef479d3.0006766d	user_options->rp_gen_func_min	1
TOP.5ef479d3.0006766d	user_options->rp_gen_seed	0
TOP.5ef479d3.0006766d	user_options->runtime	0
TOP.5ef479d3.0006766d	user_options->scrypt_tmto	0
TOP.5ef479d3.0006766d	user_options->segment_size	33554432
TOP.5ef479d3.0006766d	user_options->self_test_disable	0
TOP.5ef479d3.0006766d	user_options->slow_candidates	0
TOP.5ef479d3.0006766d	user_options->show	0
TOP.5ef479d3.0006766d	user_options->speed_only	0
TOP.5ef479d3.0006766d	user_options->spin_damp	0
TOP.5ef479d3.0006766d	user_options->status	0
TOP.5ef479d3.0006766d	user_options->status_json	0
TOP.5ef479d3.0006766d	user_options->status_timer	10
TOP.5ef479d3.0006766d	user_options->stdout_flag	0
TOP.5ef479d3.0006766d	user_options->usage	0
TOP.5ef479d3.0006766d	user_options->username	0
TOP.5ef479d3.0006766d	user_options->veracrypt_pim_start	485
TOP.5ef479d3.0006766d	user_options->veracrypt_pim_stop	485
TOP.5ef479d3.0006766d	user_options->version	0
TOP.5ef479d3.0006766d	user_options->workload_profile	2
TOP.5ef479d3.0006766d	user_options->brain_client	0
TOP.5ef479d3.0006766d	user_options->brain_client_features	2
TOP.5ef479d3.0006766d	user_options->brain_server	0
TOP.5ef479d3.0006766d	user_options->brain_server_timer	300
TOP.5ef479d3.0006766d	user_options->brain_port	6863
TOP.5ef479d3.0006766d	user_options->brain_session	0
TOP.5ef479d3.0006766d	hashes->hashlist_mode	2
TOP.5ef479d3.0006766d	hashes->hashlist_format	0
TOP.5ef479d3.0006766d	hashes->hashes_cnt	0
TOP.5ef479d3.0006766d	hashes->digests_cnt	1
TOP.5ef479d3.0006766d	hashes->digests_done	0
TOP.5ef479d3.0006766d	hashes->salts_cnt	1
TOP.5ef479d3.0006766d	hashes->salts_done	0
TOP.5ef479d3.0006766d	SUB.5ef479d5.000256a9	START
TOP.5ef479d3.0006766d	SUB.5ef479d5.000256a9	mask_ctx->mask	?a?a?a?a?a
TOP.5ef479d3.0006766d	SUB.5ef479d5.000256a9	runtime_start	1593080277
TOP.5ef479d3.0006766d	SUB.5ef479d5.000256a9	runtime_stop	1593080303
TOP.5ef479d3.0006766d	SUB.5ef479d5.000256a9	status-after-work	6
TOP.5ef479d3.0006766d	SUB.5ef479d5.000256a9	STOP
TOP.5ef479d3.0006766d	proc_start	1593080275
TOP.5ef479d3.0006766d	proc_stop	1593080304
TOP.5ef479d3.0006766d	STOP
